;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;P.H.T12;P.H.T3;SBA12_B05.P.H.T12_1;SBA39_E07.P.H.T12_2;SBA60_A07.P.H.T12_1;SB12_A09.P.H.T3_1;SB39_E05.P.H.T3_2;SB60_A05.P.H.T3_1;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
16850464;CLUL1;27098;0,0210770908858375;4,35689177132518;0,0862516695328715;0,932344394772539;0,998471812968053;-4,91902891221445;0,0210770908858375;4,21873443827125;4,19765734738541;4,0024056041589;4,32689885532743;4,32689885532743;4,08315044798533;4,17508033614305;4,33474125802786;0,299287644008397;0,816496580927726;0,0998628883193933;0,923253032945815;7;0,25849501652428;0,327880125085604;8,8819669997526
16953121;SNORD13P3;6078;-0,0237707146611132;5,96989689153047;-0,0862282106255359;0,932362747464426;0,998471812968053;-4,91902994110947;-0,023770714661115;5,90193021041382;5,92570092507494;6,23870363889461;5,70125915643737;5,76582783590948;6,3536478817646;5,78734743238462;5,63610746107558;0,337628029844442;0,816496580927726;-0,0832739947385831;0,935965015702514;7;0,349605671757481;0,327880125085604;8,8819669997526
17086739;LINC00484;100129347;-0,0249699332159974;3,32192975749183;-0,0861737011293622;0,932405392228155;0,998471812968053;-4,91903233078738;-0,0249699332159974;3,28948950872701;3,31445944194301;3,46692957953392;3,24775700644628;3,15378194020082;3,31811715690522;3,36789487374724;3,25736629517656;0,354885507347242;0,816496580927726;-0,079136348310551;0,939138953319565;7;0,386444387416925;0,327880125085604;8,8819669997526
16799690;SPINT1;6692;-0,0184094411879876;7,43579000358735;-0,0860243034618718;0,932522272554119;0,998471812968053;-4,91903887259526;-0,0184094411879885;7,37674919790998;7,39515863909797;7,16298008016505;7,34879455255165;7,61847296101323;7,17382623943354;7,53282354110212;7,47882613675824;0,262098822923527;0,816496580927726;-0,161659909955359;0,876140806662538;7;0,139470996157297;0,327880125085604;8,8819669997526
16848070;SLC16A6;9120;0,0253318277966343;3,3126210939903;0,0859875662759876;0,93255101390513;0,998471812968053;-4,91904047950256;0,0253318277966343;3,46227353693541;3,43694170913878;3,53326086356111;3,61397170918879;3,23958803805633;3,34814646582079;3,35277180892897;3,60990685266657;0,360808283343248;0,816496580927726;0,0778166896603235;0,940151499794817;7;0,398693728971634;0,327880125085604;8,8819669997526
16782050;MGC40069;348035;-0,0549412739452606;2,74098486244728;-0,0859032055904512;0,932617013883793;0,998471812968053;-4,91904416689716;-0,0549412739452602;2,75596169880021;2,81090297274547;1,78619804933362;3,56146948739259;2,92021755967441;4,5168430325354;2,2922006239526;1,62366526174839;0,783312369191237;0,816496580927726;-0,0600481544057488;0,953795678945208;7;1,12058470669227;0,327880125085604;8,8819669997526
17021162;RNU6-130P;---;-0,0249568929686221;2,66247273718715;-0,0857766351875398;0,932716037786173;0,998471812968053;-4,9190496924937;-0,0249568929686217;2,57948248307814;2,60443937604676;2,50140502034078;2,93893308001231;2,29810934888133;2,981275270659;2,3967353389069;2,43530751857439;0,356342104144799;0,816496580927726;-0,0784798301087534;0,939642671034654;7;0,389473660007064;0,327880125085604;8,8819669997526
16727502;ACTN3;89;-0,045820372814364;2,24515818533139;-0,0857765857799301;0,932716076441043;0,998471812968053;-4,91904969464907;-0,0458203728143638;2,14534863507392;2,19116900788829;1,88743888024197;2,49171794524452;2,05688907973528;2,13461910669008;2,60944173890472;1,82944617807006;0,65423758825772;0,816496580927726;-0,061423352505727;0,952739029094156;7;0,913630798716344;0,327880125085604;8,8819669997526
17100420;NRARP;441478;-0,0191744721032769;3,80706508762114;-0,0854864605271539;0,932943063788359;0,998471812968053;-4,91906232974048;-0,0191744721032774;3,85920774841829;3,87838222052157;3,44485736263396;4,20216940854465;3,93059647407626;3,74686744344806;4,10255530565769;3,78572391245896;0,274708254679349;0,816496580927726;-0,125869143993205;0,903374390412742;7;0,186573417639173;0,327880125085604;8,8819669997526
17000522;AC034243.1;---;-0,0236764482649048;2,7462051806818;-0,0854337118769069;0,93298433376638;0,998471812968053;-4,91906462237636;-0,0236764482649052;2,55936797940185;2,58304442766676;2,1131777092454;2,76692080808674;2,79800542087343;2,0640291115927;3,04071086507157;2,64439330633601;0,339416466265568;0,816496580927726;-0,082027017591124;0,936921427901307;7;0,353512896564805;0,327880125085604;8,8819669997526
