"","logFC","logCPM","PValue","FDR"
"ENST00000362423",1.19227535019314,4.58415723582547,3.08064962579971e-07,1.68793927413609e-06
"ENST00000383884",-0.698593202338343,9.37303944502458,3.18795725359897e-07,1.72872733545676e-06
"ENST00000411323",2.01002609741882,3.81253999984834,3.39893339944238e-07,1.82432547765989e-06
"ENST00000386062",-0.901144245561815,9.2474237255176,3.67454098270821e-07,1.95233187566113e-06
"ENST00000499508",1.1687944195735,4.72882603251662,3.86074143976871e-07,2.03074999731834e-06
"ENST00000384201",-0.745382229337893,6.81419236228179,4.64940055646587e-07,2.42137098287232e-06
"ENST00000363359",0.796042371578707,6.98347017496065,4.81575333837055e-07,2.48341789802246e-06
"ENST00000363214",-0.630714364466075,7.85826394023284,5.04031695644919e-07,2.57398710591483e-06
"ENST00000459473",0.870298593346913,7.47747287237267,5.42137107512601e-07,2.74196267838104e-06
"ENST00000384674",0.890643233387644,6.45704443797854,5.66925731147358e-07,2.84002794841439e-06
"ENST00000459299",-0.749656406595549,9.5297802304502,6.07130138259293e-07,3.0127401200414e-06
"ENST00000362805",-0.811662522855212,7.03071180064735,6.27355412712721e-07,3.08400885127936e-06
"ENST00000365659",-0.724736491969486,9.22935284624716,8.56644366672224e-07,4.17217534138509e-06
"ENST00000411005",0.840294942358628,6.27234499275587,8.89125628230984e-07,4.29064293990365e-06
"ENST00000391172",1.34848799729921,2.43628785096241,9.57274069214769e-07,4.57751054915426e-06
"ENST00000459949",-0.75552055490512,10.8180205042137,9.72188391172182e-07,4.60694679059971e-06
"ENST00000499237",0.822953200605359,6.2717118554849,1.24724087614776e-06,5.85757768619393e-06
"ENST00000501580",1.23511742372466,2.06532895358227,1.88004861515453e-06,8.75137673956889e-06
"ENST00000470516",1.03413272425411,4.69061847190753,1.96084176797991e-06,9.04739271892486e-06
"ENST00000384072",-0.994928189834356,3.24922673395389,1.98673202271837e-06,9.08713951260751e-06
"ENST00000383861",0.660432304043697,8.84467130940786,2.08377783677966e-06,9.44885467367327e-06
"ENST00000364884",-0.68037167622381,12.4268374393235,2.14619888111929e-06,9.64872317494657e-06
"ENST00000459623",-0.699085835507396,10.0163296912688,2.1855900498969e-06,9.74254547665906e-06
"ENST00000384782",0.647901550262651,8.84946759176788,2.26184863200708e-06,9.99775109609853e-06
"ENST00000384010",0.659981139119469,8.84399062291487,2.34906038024338e-06,1.02327029537381e-05
"ENST00000384659",0.66272823133124,8.84530555852511,2.3539107555177e-06,1.02327029537381e-05
"ENST00000364113",0.678543644305603,6.60421164401355,2.86744816471462e-06,1.23629322511467e-05
"ENST00000383869",0.667401749324811,8.85322289663972,3.00415162965359e-06,1.28470224162422e-05
"ENST00000411192",1.3954338238624,2.36115920966923,3.58811409538612e-06,1.5220548501396e-05
"ENST00000459579",0.892156531941057,8.15409431257794,3.83398887231312e-06,1.61334251746936e-05
"ENST00000493956",0.957650481485538,7.41159478422757,3.97313942796954e-06,1.65862804691427e-05
"ENST00000391286",0.738065993697447,4.08633320624237,4.26276189592437e-06,1.76552185610726e-05
"ENST00000458770",-0.514127099886267,12.7219575432611,4.43967036010032e-06,1.82442703860372e-05
"ENST00000411307",0.738838574153676,7.85269256998917,4.58089454129855e-06,1.86786862691708e-05
"ENST00000364612",1.61740609101859,3.67991853065936,4.64324104205197e-06,1.8787267600918e-05
"ENST00000384278",0.644768787906626,8.84410774863251,5.16568179267646e-06,2.07415925415864e-05
"ENST00000383969",-0.573129393188801,14.0776008008916,5.74722983728532e-06,2.29018401091824e-05
"ENST00000500895",0.931626631122844,6.42799145952314,6.30991069244864e-06,2.49549851445713e-05
"ENST00000428934",1.38431183795807,2.70726679662232,6.54186290530232e-06,2.5679252896933e-05
"ENST00000383925",0.635707103057428,8.85040935113724,8.14776568181466e-06,3.17461092491445e-05
"ENST00000364546",1.24141613978547,3.27840413836373,8.58200279511191e-06,3.31921578693299e-05
"ENST00000391007",-0.758905558875178,9.30952089473056,9.7071881695679e-06,3.72699341400928e-05
"ENST00000362704",-0.683636901403005,9.34331215399914,1.02807528679525e-05,3.91860580329203e-05
"ENST00000365099",1.49541732399005,3.64812186499618,1.03772797899081e-05,3.92694184855517e-05
"ENST00000384693",-0.585964559360281,15.6558200342332,1.05582711430929e-05,3.96689330090492e-05
"ENST00000390910",-0.683006461518408,3.65672906269567,1.30146059799221e-05,4.85509414570144e-05
